id,name,imgUrl
satonodiamond,サトノダイヤモンド,https://img.game8.jp/5701686/abb1e8559452263ee531474a4952db71.png/original
kitasanblack,キタサンブラック,https://img.game8.jp/5701687/8216c22081b5d75ce8b565ee5f7d0efd.png/original
