id,name,imgUrl
toukaiteioh,トウカイテイオー,https://img.game8.jp/5700654/0f2b1df09ee8c849b9f4c61d5c0051df.png/show
mesiromackeen,メジロマックイーン,https://img.game8.jp/5700653/5302926d33c34f2aa38202e14c5fddef.png/show
